"V1" "V2" "V3"
"1" 12 33 0.642857142857143
"2" 13 32 0.666666666666667
"3" 12 28 0.738095238095238
"4" 15 32 0.714285714285714
"5" 15 26 0.666666666666667
"6" 17 31 0.714285714285714
"7" 11 29 0.69047619047619
"8" 15 29 0.738095238095238
"9" 10 28 0.714285714285714
"10" 13 30 0.642857142857143
"11" 11 31 0.666666666666667
"12" 11 29 0.69047619047619
"13" 14 29 0.666666666666667
"14" 13 30 0.619047619047619
"15" 17 32 0.714285714285714
"16" 13 28 0.761904761904762
"17" 14 28 0.761904761904762
"18" 13 27 0.69047619047619
"19" 10 27 0.761904761904762
"20" 13 31 0.738095238095238
"21" 16 27 0.69047619047619
"22" 14 28 0.666666666666667
"23" 11 30 0.595238095238095
"24" 11 29 0.619047619047619
"25" 11 29 0.666666666666667
"26" 11 31 0.666666666666667
"27" 11 31 0.785714285714286
"28" 15 33 0.738095238095238
"29" 15 35 0.642857142857143
"30" 16 29 0.642857142857143
"31" 16 29 0.714285714285714
"32" 11 26 0.69047619047619
"33" 17 29 0.714285714285714
"34" 11 28 0.714285714285714
"35" 14 28 0.69047619047619
"36" 15 30 0.642857142857143
"37" 10 28 0.642857142857143
"38" 11 29 0.666666666666667
"39" 13 33 0.785714285714286
"40" 10 32 0.666666666666667
"41" 7 29 0.738095238095238
"42" 10 32 0.69047619047619
"43" 10 32 0.69047619047619
"44" 14 26 0.666666666666667
"45" 13 31 0.666666666666667
"46" 14 32 0.666666666666667
"47" 17 28 0.785714285714286
"48" 15 31 0.619047619047619
"49" 12 26 0.69047619047619
"50" 13 33 0.69047619047619
"51" 13 33 0.69047619047619
"52" 13 31 0.785714285714286
"53" 12 28 0.69047619047619
"54" 16 29 0.761904761904762
"55" 14 26 0.666666666666667
"56" 14 32 0.69047619047619
"57" 13 29 0.69047619047619
"58" 15 27 0.738095238095238
"59" 11 30 0.619047619047619
"60" 13 28 0.666666666666667
"61" 11 27 0.738095238095238
"62" 16 28 0.571428571428571
"63" 12 25 0.666666666666667
"64" 11 30 0.595238095238095
"65" 13 31 0.69047619047619
"66" 12 32 0.571428571428571
"67" 12 29 0.69047619047619
"68" 9 29 0.761904761904762
"69" 12 29 0.738095238095238
